Binomial.1.2,Mass.Source.Formatted,Mass.Source.Original,Mass.Comparison.Source.Formatted,Mass.Comparison.Source.Original,Browsing.Grazing.Source.Formatted,Browsing.Grazing.Method,Browsing.Grazing.Notes,Browsing.Grazing.Source.Original,Fermentation.Type.Source.Formatted,Fermentation.Type.Source.Original,Substrate.Source.Formatted,Substrate.Source.Original,Food.Handling.Source.Formatted,Food.Handling.Source.Original,Foot.Type.Source.Formatted,Foot.Type.Source.Original,Herd.Size.Source.Formatted,Herd.Size.Source.Original,Digging.Rooting.Source.Formatted,Digging.Rooting.Source.Original,k_medoid_herbivore,Mass.Method,Mass.Comparison,Fermentation.Type.Method,Fermentation.Type.Notes,Substrate.Notes,Food.Handling,Food.Handling.Notes,Foot.Type.Coarse,Foot.Type.Notes,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Other.Notes
Megalocnus_rodens,Raia et al. 2010 Global Ecology and Biogeography,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Estimated Expert Genus,ï»¿This is based on width of mandibular symphysis relative to mandibular length. This is an unusual measure so we classify it as expert judgement.,"Pujos, F., Gaudin, T. J., de Iuliis, G., & Cartelle, C. (2012). Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths. Journal of Mammalian Evolution, 19(3), 159â€“169. https://doi.org/10.1007/s10914-012-9189-y",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Pujos et al. 2012 Journal of Mammalian Evolution,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",NA,NA,NA,NA,NA,NA,absent,Morphology,,NA
Megalocnus_zile,Raia et al. 2010 Global Ecology and Biogeography,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Estimated Expert Genus,ï»¿This is based on width of mandibular symphysis relative to mandibular length. This is an unusual measure so we classify it as expert judgement.,"Pujos, F., Gaudin, T. J., de Iuliis, G., & Cartelle, C. (2012). Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths. Journal of Mammalian Evolution, 19(3), 159â€“169. https://doi.org/10.1007/s10914-012-9189-y",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Pujos et al. 2012 Journal of Mammalian Evolution,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",NA,NA,NA,NA,NA,NA,absent,Morphology,,NA
Parocnus_serus,Turvey and Fritz 2011 Philos Trans R Soc Lond B,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Estimated Expert Genus,NA,"Pujos, F., Gaudin, T. J., de Iuliis, G., & Cartelle, C. (2012). Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths. Journal of Mammalian Evolution, 19(3), 159â€“169. https://doi.org/10.1007/s10914-012-",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Grass 2014 Thesis,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",NA,NA,NA,NA,NA,NA,absent,Morphology,,NA
Parocnus_browni,Turvey and Fritz 2011 Philos Trans R Soc Lond B,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Estimated Expert Genus,NA,"Pujos, F., Gaudin, T. J., de Iuliis, G., & Cartelle, C. (2012). Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths. Journal of Mammalian Evolution, 19(3), 159â€“169. https://doi.org/10.1007/s10914-012-",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Pujos et al. 2012 Journal of Mammalian Evolution,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",NA,NA,NA,NA,NA,NA,absent,Morphology,,NA
Acratocnus_ye,Turvey and Fritz 2011 Philos Trans R Soc Lond B,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Estimated Expert Genus,This is based on width of mandibular symphysis relative to mandibular length. This is an unusual measure so we classify it as expert judgement.,"Pujos, F., Gaudin, T. J., de Iuliis, G., & Cartelle, C. (2012). Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths. Journal of Mammalian Evolution, 19(3), 159â€“169. https://doi.org/10.1007/s10914-012-9189-y",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Pujos et al. 2012 Journal of Mammalian Evolution,"Recent Advances on Variability, Morpho-Functional Adaptations, Dental Terminology, and Evolution of Sloths",NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",NA,NA,NA,NA,NA,NA,absent,Morphology,,NA
Stegodon_florensis,Van Den Bergh et al. 2008 Quaternary International,Quarternary International 182: 16-48 (2008),NA,NA,Puspaningrum et al. 2014 VIth International Conference on Mammoths and Their Relatives,Estimated Isotopes (C13+018) Species,"Conference abstract, small sample size, methods barely discussed.","Puspaningrum, M., Van Den Bergh, G., Chivas, A., Setiabudi, E., & Kurniawan, I. (2014). Preliminary results of dietary and environmental reconstructions of Early to Middle Pleistocene Stegodons from the So â€™ a Basin of Flores , Indonesia , based on enamel stable isotope records. Abstract Book of the VIth International Conference on Mammoths and Their Relatives. SASG Special Volume 102, 102, 164â€“165.",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred,Inferred,NA,NA,Reported morphology Order,Reported morphology Order,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Proboscis,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Stegodon_trigonocephalus,Van Den Bergh et al. 2008 Quaternary International,Quarternary International 182: 16-48 (2008),NA,NA,Puspaningrum et al. 2014 VIth International Conference on Mammoths and Their Relatives,Estimated Isotopes (C13+018) Species,"S. trigonocephalus samples only from island of Java. Conference abstract, small sample size, methods barely discussed.","Puspaningrum, M., Van Den Bergh, G., Chivas, A., Setiabudi, E., & Kurniawan, I. (2014). Preliminary results of dietary and environmental reconstructions of Early to Middle Pleistocene Stegodons from the So â€™ a Basin of Flores , Indonesia , based on enamel stable isotope records. Abstract Book of the VIth International Conference on Mammoths and Their Relatives. SASG Special Volume 102, 102, 164â€“165.",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred,Inferred,NA,NA,Reported morphology Order,Reported morphology Order,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Proboscis,,soft,,NA,NA,NA,NA,NA,NA,,,,NA
Acratocnus_odontrigonus,Turvey and Fritz 2011 Philos Trans R Soc Lond B,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,Resar et al. 2013 Kirtlandia,Estimated Dental wear (microwear) Species,NA,"Resar, N. A., Hall, M., Green, J. L., & Afee, R. K. M. C. (2013). Reconstructing paleodiet in ground sloths ( Mammalia, Xenarthra) using dental microwear analysis. Kirtlandia, (58), 61â€“72.",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Grass 2014 Thesis,"Grass, A.D. 2014. Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths",NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",0,0,0,0,NA,NA,absent,Morphology,,NA
Hemitragus_cedrensis,Rivals 2004 Archaeopress,"Rivals, F., 2004. Les petits bovidÌÄå©s (Caprini et Rupicaprini) plÌÄå©istocÌÄå¬nes dans le bassin mÌÄå©diterranÌÄå©en et le Caucase. Etude palÌÄå©ontologique, biostratigraphique, archÌÄå©ozoologique et palÌÄå©oÌÄå©cologique. Archaeopress: Oxford",NA,NA,Rivals 2004 Archaeopress,Estimated Dental wear (microwear) Species,NA,"Rivals, F. (2004). Les petits bovidÃ©s ( Caprini et Rupicaprini ) plÃ©istocÃ¨nes dans le bassin mÃ©diterranÃ©en et le CaucaseLes petits bovidÃ©s (Caprini et Rupicaprini) plÃ©istocÃ¨nes dans le bassin mÃ©diterranÃ©en et le Caucase: Etude palÃ©ontologique, biostratigraphique, archÃ©ozool.",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,Most likely foraged on steep cliffs,Mouth,,hoofed,two-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,Likely a mountain/vertiginous animal
Mammuthus_primigenius,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Rivals et al. 2012 Quaternary International,Estimated Dental wear (microwear) Species,"n=127, n=32 from North Sea and Alaska, respectively. Described as Grazer in AK, and Grazer/MixedFeeder in North Sea","Rivals, F., Semprebon, G., & Lister, A. (2012). An examination of dietary diversity patterns in Pleistocene proboscideans (Mammuthus, Palaeoloxodon, and Mammut) from Europe and North America as revealed by dental microwear. Quaternary International, 255(March), 188â€“195. https://doi.org/10.1016/j.quaint.2011.05.036",Extrapolated based on extant relatives,extrapolated based on extant relatives,Inferred from extant relatives and diet,Inferred from extant relatives and diet,NA,NA,Reported morphology Order,Reported morphology Order,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Proboscis,,soft,,NA,NA,0,0,NA,NA,,,,NA
Haploidoceros_mediterraneus,Faurby et al. 2018 Ecology,PHYLACINE 1.2,NA,NA,"Rivals et al. 2016 Palaeogeography, Palaeoclimatology, Palaeoecology",Estimated Craniodental + Dental wear (mesowear + microwear) Species,NA,"Rivals, F., Sanz, M., & Daura, J. (2016). First reconstruction of the dietary traits of the Mediterranean deer (Haploidoceros mediterraneus) from the Cova del Rinoceront (NE Iberian Peninsula). Palaeogeography, Palaeoclimatology, Palaeoecology, 449, 101â€“107. https://doi.org/10.1016/J.PALAEO.2016.02.014",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",Inferred,inferred,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Imputed,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Morenelaphus_brachyceros,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,"Rotti et al. 2018 Palaeogeography, Palaeoclimatology, Palaeoecology",Estimated Dental wear (microwear) Genus,Genus-level results only. Mixed feeder on the grazing end of the spectrum,"Rotti, A., Mothe, D., dos Santos Avilla, L., & Semprebon, G. M. (2018). Diet reconstruction for an extinct deer (Cervidae: Cetartiodactyla) from the Quaternary of South America. Palaeogeography, Palaeoclimatology, Palaeoecology, 497, 244â€“252. https://doi.org/10.1016/J.PALAEO.2018.02.026",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Morenelaphus_lujanensis,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,"Rotti et al. 2018 Palaeogeography, Palaeoclimatology, Palaeoecology",Estimated Dental wear (microwear) Genus,Genus-level results only. Mixed feeder on the grazing end of the spectrum,"Rotti, A., MothÃ©, D., dos Santos Avilla, L., & Semprebon, G. M. (2018). Diet reconstruction for an extinct deer (Cervidae: Cetartiodactyla) from the Quaternary of South America. Palaeogeography, Palaeoclimatology, Palaeoecology, 497, 244â€“252. https://doi.org/10.1016/J.PALAEO.2018.02.026",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,NA,NA,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,NA,NA,NA,NA,NA,NA,,,,NA
Camelus_dromedarius,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,Rowan et al. 2018 Historical Biology,Estimated Craniodental Species,NA,"Rowan, J., Martini, P., Likius, A., Merceron, G., & Boisserie, J. R. (2018). New Pliocene remains of Camelus grattardi (Mammalia, Camelidae) from the Shungura Formation, Lower Omo Valley, Ethiopia, and the evolution of African camels. Historical Biology, 2963, 1â€“12.; Kohler-Rollefson 1991. Mammalian Species https://doi.org/10.1080/08912963.2017.1423485",Extrapolated based on extant relatives,extrapolated based on extant relatives,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,soft,,0,0,0,0,Gregarious,NA,,,,NA
Paramylodon_harlani,Davis 2017 Proc. of the Royal Society B,"Davis, M. 2017. What North America‰Û¡Ì_å»s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,Ruez 2005 Texas Journal of Science,Estimated Isotopes (C13) Species,,"Ruez, D. R. (2005). DIET OF PLEISTOCENE PARAMYLODON HARLANI (XENARTHRA: MYLODONTIDAE): REVIEW OF METHODS AND PRELIMINARY USE OF CARBON ISOTOPES. TEXAS J. SCI, 57(4), 329â€“344. Retrieved from https://s3.amazonaws.com/academia.edu.documents/44807987/Diet_of_Pleistocene_Paramylodon_harlani_20160416-28513-x2fx7r.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1518521236&Signature=Mg%2FOEUxeAzSioVVVS3uPzakxocs%3D&response-content-disposition=inline%3B filename%3DDiet_of_Pleistocene_Paramylodon_harlani.pdf",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Grass 2014 Thesis,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,NA,NA,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,NA,,soft,"Some taxa may have been bipedal, not quantified",0,0,0,0,NA,NA,Digging/burrowing,Morphology,,NA
Scelidotherium_leptocephalum,Smith et al. 2003 Ecology,Ecological Archives E084-094 (2003),NA,NA,"Saarinen and Karme 2017 Palaeogeography, Palaeoclimatology, Palaeoecology",Estimated Dental wear (mesowear) Species,,"Saarinen, J., & Karme, A. (2017). Tooth wear and diets of extant and fossil xenarthrans (Mammalia, Xenarthra) â€“ Applying a new mesowear approach. Palaeogeography, Palaeoclimatology, Palaeoecology, 476, 42â€“54. https://doi.org/10.1016/j.palaeo.2017.03.027",McDonald and Pelikan 2006 Quaternary International,Mammoths and mylodonts: Exotic species from two different continents in North American Pleistocene faunas,Grass 2014 Thesis,Inferring lifestyle and locomotor habits of extinct sloths through scapula morphology and implications for convergent evolution in extant sloths,Bargo et al. 2005 Journal of Morphology,Bargo et al. 2005. Journal of Morphology,Naish 2012 Tetrapod Zoology,"Naish, D. August 30, 2012. The anatomy of sloths. Tetrapod zoology. Scientific American. Accessed February 3, 2019",NA,NA,Pujos et al. 2012 Journal of Mammalian Evolution,Pujos et al. 2012,yes,Reported,NA,Expert Suborder (Sloths),NA,NA,Prehensile lip,,soft,"Some taxa may have been bipedal, not quantified",NA,NA,NA,NA,NA,NA,Digging/burrowing,Morphology,,NA
